XSharp.Core.DLL,Bytes2String
XSharp.Core.DLL,String2Bytes
XSharp.RT.DLL,Cast2Psz
XSharp.RT.DLL,String2Mem
XSharp.RT.DLL,String2Psz
XSharp.VO.DLL,String2W
XSharp.VO.DLL,W2String
XSharp.Core.DLL,_MPosToLc
XSharp.RT.DLL,FClone
XSharp.RT.DLL,_AsString
XSharp.RT.DLL,_DbCreate
XSharp.RT.DLL,_DbThrowErrorOnFailure
VOSQLClasses.DLL,SQLThrowOutOfMemoryError
VOSQLClasses.DLL,SQLType2CType
XSharp.Core.DLL,FClearErrorState
XSharp.Core.DLL,FSetErrorState
XSharp.VO.DLL,MAKELANGID
XSharp.VO.DLL,MAKELCID
XSharp.Core.DLL,_ExecName
XSharp.Core.DLL,_VO_Sprintf
XSharp.RT.DLL,_AllocFieldNames
XSharp.RT.DLL,_FreeFieldNames
XSharp.RT.DLL,_NGet
XSharp.RT.DLL,_NPut
XSharp.RT.DLL,_SendClassParams
XSharp.RT.DLL,DoEvents
XSharp.RT.DLL,MyDalFloatVal
XSharp.RT.DLL,VO_Sprintf
XSharp.VO.DLL,IsBiDi
XSharp.Core.DLL,_SetCollation
XSharp.Core.DLL,_SetDict
XSharp.VO.DLL,GetNatDllHandle
VOSQLClasses.DLL,InitGlobals
XSharp.RT.DLL,_GetMRandID
VOGUIClasses.DLL,GetThemeColor
